10|05|A|Includes Machine Guns; Brushes, Machine Gun and Pistol.|Excludes Turrets, Aircraft.||Guns, through 30mm|2001169|
12|80|A|Includes Computers, specifically designed; Complete Gyro Mechanisms; Optical Instruments for Bombing Fire Control.|Excludes Gyro Components; Optical Elements, such as Lens, Prisms, Filters.||Aircraft Bombing Fire Control Components|1974091|
12|85|A|Includes Radar Sets, Assemblies, Subassemblies, and Components Specially Designed for use on or with Fire Control Equipment.|||Fire Control Radar Equipment, except Airborne|1974091|
12|87|A|||Note-This class includes airborne, shipborne, and submarineborne sonar sets, assemblies, subassemblies, and components designed specificially for use with underwater fire control equipment.|Fire Control Sonar Equipment|1974091|
12|90|A|Includes Fuze Setters; Ordnance Cable Systems; Aiming Circles; Flash and Sound Ranging Sets; Fire Control Components and Subassemblies Not Classifiable in Other Classes of Group 12.|||Miscellaneous Fire Control Equipment|1974091|
13|05|A|Includes Components.|||Ammunition, through 30mm|1974091|
13|10|A|Includes Components, except Fuzes and Primers; Chemical Warfare Cartridges.|Excludes Fuzes and Primers.||Ammunition, over 30mm up to 75mm|1974091|
13|15|A|Includes Components, except Fuzes and Primers; Pyrotechnic Cartridges and Projectiles; Chemical Warfare Cartridges and Projectiles.|Excludes Fuzes and Primers.||Ammunition, 75mm through 125mm|1974091|
13|20|A|Includes Components, except Fuzes and Primers; Chemical Warfare Projectiles.|Excludes Fuzes and Primers.||Ammunition, over 125mm|1974091|
13|25|A|Includes Components; Photoflash Bombs; Chemical Warfare Bombs; Bomb Clusters.|Excludes Guided Bombs converted to Guided Missiles by addition of a means of propulsion.||Bombs|2007278|
13|30|A|Includes Components; Hand and Rifle Grenades; Smoke Grenades.|Excludes Firing Devices (Launchers).||Grenades|1974091|
13|36|A|Includes Warheads Containing Military Chemical Agents; Exercise Heads, Guided Missile.|Excludes Atomic Ordnance Warheads; All other Warheads for use on other than guided missiles; Liquid Propulsion Units; Rocket Engines (Liquid Propellant Units); JATO Units; Rocket Motors (Solid Propellant Units) for Guided Missiles; Solid Fuel Propulsion Units; Propellant Chemicals encased in consumable containers, such as squibs and cartridges for insertion into missile propulsion systems as integral parts.||Guided Missile Warheads and Explosive Components|1974091|
13|37|A|Includes Rocket Motors (Solid Propellant Units) for Guided Missiles, Explosive-Loaded; All Explosive Components for Guided Missile and Space Vehicle Solid Fuel Propulsion Units; Solid Propellants encased in consumable containers, such as squibs and cartridges, intended for insertion into missile propulsion systems as integral parts.|Excludes Rocket Motors (Solid Propellant Units) for Guided Missiles, Inert-Loaded or Empty; All Inert (Nonexplosive) Components for Guided Missile and Space Vehicle Solid Fuel Propulsion Units; Guided Missile Warheads and Components; Rocket Propulsion Units; Rocket Motors (Solid Propellant Units) for Rockets; Solid Propellants predetermined to specific quantity and quality, but packaged in reusable containers.||Guided Missile and Space Vehicle Explosive Propulsion Units, Solid Fuel; and Components|1974091|
13|38|A|Includes Rocket Motors (Solid Propellant Units) for Guided Missiles, Inert-Loaded or Empty; All Inert (Nonexplosive) Components for Guided Missile and Space Vehicle Solid Fuel Propulsion Units.|Excludes Rocket Motors (Solid Propellant Units) for Guided Missiles, Explosive-Loaded; Guided Missile Warheads and Components; Rocket Propulsion Units; Rocket Motors (Solid Propellant Units) for Rockets.||Guided Missile and Space Vehicle Inert Propulsion Units, Solid Fuel; and Components|1974091|
13|40|A|Includes Complete Rounds; Explosive Components, Including Warheads; Pyrotechnic Rockets; Solid Fuel JATO Units; Rocket Motors (Solid Propellant Units) for Rockets; Covers, Protective Rocket Warhead; Jettisonable Rocket Launchers; Conditioning Kits and Sets, Controlled Environment; and other peculiar components which are not classified elsewhere.|Excludes Nuclear rockets, Nuclear warheads; all other warheads for use on other than rockets; and rockets with built-in guiding devices.||Rockets, Rocket Ammunition and Rocket Components|1974091|
13|45|A|Includes Components; Antipersonnel Mines; Antitank Mines; Fuzes.|||Land Mines|1974091|
13|46|A|Includes: Remote Munition Items and Systems used singularly or in combination to defeat a variety of threats; Fuzes; Safe and Arming devises; Self Destruction Mechanisms; Communication Modules; Command and Control systems and various other pertinent components.||Note-Munitions items/systems that are not held by the soldier but are deployed for future activation. They may be put in place separately by the soldier or delivered from vehicles or aircraft by mechanical distribution methods. They may be commdand controlled or may use self-initiated firing systems that do not require soldier monitoring. All items in this class can be armed/disarmed remotely.|Remote Munitions|2002238|
13|50|A|Includes Parachute Packs; Inert Mine Cases; Booster Cans; Clock Delays; Clock Starters; Search Coils; Extenders.|||Underwater Mine and Components, Inert|1974091|
13|51|A|Includes Loaded Cases; Boosters; Detonators.|||Underwater Mines and Components, Explosive|1974091|
13|52|A|Includes: Complete operating units, such as an underwater mine reconnaissance device, as well as component parts, practice, training, blank, and dummies.|Excludes: Torpedo Inert components, depth charges, and underwater mines.|Note-Version of Underwater Mine Disposal Explosive Device without destructive charge. Intended for underwater mine hunting and reconnaissance. May also be used for training purposes.|Underwater Mine Disposal Inert Devices|2000183|
13|53|A|Includes Complete explosive device, including ammunition, detonating charge, and component parts.|Excludes Underwater Mine Explosive Components (FSC 1351), Torpedo Explosive Components (FSC 1356), Military Chemical Agents (FSC 1365).|Note-Complete explosive devices, including destructive charge. It is fired, guided to target and detonated from a vessel or other remote site.|Underwater Mine Disposal Explosive Devices|2000183|
13|55|A||||Torpedos and Components, Inert|1974091|
13|56|A|Includes Warheads; Boosters; Detonators.|||Torpedos and Components, Explosive|1974091|
13|60|A|Includes Inert Firing Mechanisms; Pistols without Detonators; Extenders.|||Depth Charges and Components, Inert|1974091|
13|61|A|Includes Cases; Boosters; Detonators.|||Depth Charges and Components, Explosive|1974091|
13|65|A|Includes War Gases; Screening Smokes; Incendiary and thickening Agents; Signaling Smokes.|Excludes Ammunition containing Military Chemical Agents.||Military Chemical Agents|1974091|
13|67|A|||Note-A collection of items, which are used for a specific purpose. Each collection must include at least one item of ordnance classified in Group 13. Ordnance may be non-lethal (as defined in the Department of Defense Direcive 3000.3). These sets, kits and outfits may include such items as uniforms, weapons, body armor, and the like. By themselves, each of these components belongs in an FSC other than 1367.|Tactical Sets, Kits, and Outfits|2002010|
13|70|A|Includes Flares; Signals; Anti-Aircraft Countermeasure Cartridges; Fireworks; Pistol Rocket Signals.|Excludes Pyrotechnic Cartridges and Projectiles; Photoflash Bombs; Pyrotechnic Rockets.||Pyrotechnics|2023073|
13|75|A|Includes Items for construction, quarrying and demolition work such as Dynamite and other explosives packed in cylindrical paper cartridges or in bags, Demolition Charges, Blasting Caps, Blasting Time Fuses, Detonating Cord, Demolition Firing Devices; Booby Trap Mechanisms; Bangalore Torpedoes; Inert accessories and components such as Blasting Machines, Priming Adapters, and Detonating Cord Clips.|Excludes Liquid Propellant Fuels and Oxidizers; Solid Propellants encased in consumable containers, for insertion into missile propulsion systems as integral parts; Guided Missile Explosive Devices; Safety-in-Flight Explosive Items and Devices such as, Impulse Cartridges, Delay Cartridges, Aircraft Ejection Seat Catapults, Aircraft Canopy Removers, and similar items, as shown in the indexes to the FSC, Solid Propellants, predetermined to specific quantity and quality, packaged in reusable containers; Nuclear Ordnance Components; Rocket and Guided Missile Motors, Warheads, and Propulsion Sections.||Demolition Materials|1974091|
13|76|A|Includes Solid Propellants, predetermined to specific quantity and quality, packaged in reusable containers; Explosive Loaded Devices and Components as shown in the indexes to the FSC.|Excludes Liquid Propellant Fuels and Oxidizers; Solid Propellants encased in consumable containers, for insertion into missile propulsion systems as integral parts; Guided Missile Explosive Devices; Blasting and Demolition Materials; Safety-in-Flight Explosive Items and Devices such as Impulse Cartridges, Delay Cartridges, Aircraft Ejection Seat Catapults, Aircraft Canopy Removers; Rocket and Guided Missile Motors, Warheads, and Propulsion Sections; similiar items, as shown in the indexes to the FSC.||Bulk Explosives|1974091|
13|77|A|Includes Impulse Cartridges; Delay Cartridges; Engine Starter Cartridges (explosive filled); Fire Extinguisher Cartridges (used to activate by remote control); Aircraft Ejection Seat Catapults; Rocket Motors (Solid Propellant Units) for Aircraft Ejection Seats; Aircraft Canopy Removers; Thrusters, propellant and cartridge actuated; Initiators; Explosive Bolts and Explosive Bolt Cartridges; Cutters, cartridge or propellant actuated, Reefing Line; Powder actuated Tool Cartridges; Explosive Loaded Devices and Components which are not specifically classified elsewhere.|Excludes Liquid Propellant Fuels and Oxidizers; Solid Propellants, encased in consumable containers for insertion into missile propulsion systems as an integral part; Guided Missile Explosive Devices; Bulk and Solid Propellants, predetermined to specific quantity and quality, packaged in reusable containers; Blasting and Demolition Materials; Rocket Motors, Warheads and Propulsion Sections for Rockets and Guided Missiles.|Note-This class includes safety-in-flight explosive items, consisting of a quantity of propellant (either encased in a cartridge or in molded form) and a means of activation, designed to be inserted into or attached to one or more devices to provide the energy required to operate devices requiring a time delay, or not requiring a time delay, in their operating sequence. Also included are devices designed to utilize energy generated by the items described above.|Cartridge and Propellant Actuated Devices and Components|1974091|
13|80|C|||FSC 1380 CANCELLED ON 100103 Military Biological Agents|Military Biological Agents|1982060|
13|85|A||Excludes Nonspecialized or common tools and equipment not developed exclusively for use by qualified EOD personnel; specialized demolition material; explosive loaded shaped charges.|Note-This class includes only specialized tools and equipment developed for and used by qualified Explosive Ordnance Disposal (EOD) personnel.|Surface Use Explosive Ordnance Disposal Tools and Equipment|1974091|
13|86|A||Excludes Nonspecialized or common tools not developed exclusively for use by qualified EOD, UDT, and/or SEAL personnel; specialized demolition material; explosive loaded shaped charges|Note-This class includes only specialized tools and equipment developed for and used by qualified Explosive Ordnance Disposal (EOD), personnel, Underwater Demolition Teams (UDT), and/or Sea-Air-Land (SEAL) personnel|Underwater Use Explosive Ordnance Disposal and Swimmer Weapons Systems Tools and Equipment|1974091|
13|90|A||Excludes Fuzes and Primers for ammunition not classified in Classes 1310, 1315, and 1320.|Note-This class includes only fuzes and primers for use in ammunition classified in Classes 1310, 1315, and 1320.|Fuzes and Primers|1974091|
13|95|A|Includes Ammunition Shapes, such as Blanks, Disks, Slugs, Cups, and Rotating Bands (Shell Bands).|||Miscellaneous Ammunition|1974091|
13|98|A|Includes Handling and servicing equipment specially designed for use on or with rockets and conventional ammunition.|Excludes Handling and servicing equipment specially designed for use on or with rocket and pyrotechnic launchers; Ammunition maintenance and repair shop specialized equipment; Handling equipment specially designed for aircraft or airfield use.||Specialized Ammunition Handling and Servicing Equipment|1974091|
14|10|A|Includes Complete Drones, initially designed as missiles, but converted to drone use. Also includes complete guided missile air launch decoys.||Note-This class includes only complete guided missiles, with or without warheads and explosive components, whether in assembled or unassembled form. End items, assemblies, parts, attachments, or accessories for use in or on guided missiles are classified in classes other than this class.|Guided Missiles|2006053|
14|20|A|Includes Structural Components; Components and Accessories Specially Designed for use on or with guided missiles, including Complete Gyro Mechanisms, Hydraulic Pumps, Automatic Pilot Mechanisms and Specially Designed Assemblies, and Electronic Guidance Equipment installed in missiles, Mounting structure, Spare Kits, On Board Sensors, and Long Wave Infared Cameras.|Excludes Electronic Remote Guidance Equipment used to guide missiles; Solid and Liquid Propellant Units; Components of Gyro Mechanisms.||Guided Missile Components|2020084|
14|25|A||Excludes Guided Missile Subsystems.|Note-This class includes only complete guided missile systems. Anything less than a complete system, such as individual end items, assemblies, parts, attachments, or accessories for use in guided missile systems are classified in classes other than this class.|Guided Missile Systems, Complete|1974091|
14|27|A||Excludes Complete Guided Missile Systems.|Note-This class includes only combinations or assemblies of two or more end items, each of which is properly classified in other classes of this group, identified as single items of supply. Excluded from this class are individual end items, assemblies, subassemblies, attachments, accessories or parts classified in other classes of this group, not combined as single items of supply.|Guided Missile Subsystems|1974091|
14|30|A|Includes Specially Designed Components of Guided Missile Remote Control Systems.|Excludes Guided Missile Internal (Built-in) Control Systems; Components used in both guided missiles and other than guided missiles (including fire control components).|Note-This class includes airborne and nonairborne guided missile remote control systems, components, and accessories, designed specifically for use therewith. Excluded from this class are fire control assemblies, subassemblies, and components modified for use with guided missile remote control systems, and fire control assemblies designed specifically for shipboard use.|Guided Missile Remote Control Systems|1974091|
14|40|A|Includes Airborne and Nonairborne Guided Missile Launchers.|Excludes Aircraft Launchers; Rocket Launchers.||Launchers, Guided Missile|1974091|
14|50|A|Includes Specially Designed Trucks and Trailers for use in transporting guided missiles; Specially Designed Slings, Hoists, Jacks, and Blowers; Self-propelled Vehicles and Trailers, Specially Designed for Guided Missile Handling or Servicing; Covers, Guided Missile; Conditioning Kits and Sets, Controlled Environment.|Excludes Guided Missile Launchers (FSC 1440); Aircraft Handling and Servicing Equipment (FSC 1730).||Guided Missile Handling and Servicing Equipment|1974091|
15|10|A|||Note-This class includes only complete aircraft. End items, assemblies, parts, attachments, or accessories for use in or on fixed wing aircraft are classified in classes other than this class.|Aircraft, Fixed Wing|1974091|
15|20|A|Includes Helicopters.||Note-This class includes only complete aircraft. End items, assemblies, parts, attachments, or accessories for use in or on rotary wing aircraft are classified in classes other than this class.|Aircraft, Rotary Wing|1974091|
15|40|A|Includes Motorized Gliders.||Note-This class includes only complete gliders. End items, assemblies, parts, attachments, or accessories for use in or on gliders are classified in classes other than this class.|Gliders|1974091|
15|50|A|Includes Unmanned Aircraft Systems (UASs) and Drones specifically designed for such uses as targets, training, surveillance, missile evaluation, photographic reconnaissance, weapons delivery, communications relay/network gateway, electronic warfare, search and rescue, re-supply or other military operateons.|Excludes Converted or modified guided missiles.|Note-This class includes only complete unmanned aircraft systems and subordinate air vehicles. Other major items, assemblies, parts, attachments, or accessories for use in or on unmanned aircraft systems are classified in classes other than this class.|Unmanned Aircraft|2010032|
15|55|A|||Note - This class includes only complete space vehicles, whether in assembled or unassembled form.|Space Vehicles|2013049|
15|60|A|Includes Flight Control Surfaces; Internal and External Auxiliary Fuel Tanks; Exhaust Systems; Pylons, Trim Tabs; Aircraft.|Excludes Fitted Covers; Helicopter Rotor Brake System Components; Aircraft Loose Equipment and Alternate Mission Configuration Equipment stored on board the aircraft.|Note-This class includes fabricated system parts that are permanently attached or peculiar to the integral airframe of an aircraft, such as support structural components, spars, ribs, ailerons, stabilizers, bulkheads.|Airframe Structural Components|1974091|
16|10|A|Includes Aircraft Propellers; Propeller Blades, Cams, Cones, Hubs, Nuts, and Spinners; Test Clubs; Synchronizers; Power Control Units; Integral Oil Control Measures and Propeller Governors.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |Excludes Rotary Rudder and Rotary Wing Blades (FSC 1615).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ||Aircraft Propellers and Components|1995181|
16|15|A|Includes Helicopter dynamic components and specially designed parts that transmit power from the aircraft power plant to the rotary wing and rotary rudder. Also included in this class are Rotors; Blades; Rotor Blade, Trim, Tabs; Blade Sets; Yokes; Clutches and Transmissions.|Excludes Propellers (FSC 1610); Rotor Brake Systems Components (FSC 1630); Rotor Blade Hydraulic Folding System Components (FSC 1650); Hydraulic Servo System Components (FSC 1650).|Note-This class includes miscellaneous component parts specifically designed for, and used exclusively in, helicopter drive mechanisms and rotor blades when not specifically classified elsewhere in the FSC indexes.|Helicopter Rotor Blades, Drive Mechanisms and Components|1974091|
16|20|A|Includes Shock Struts and Components; Installation Elements, such as Torsion Bars, Vibration Links, Drag Struts; Landing Gear Trunions, Axles and Shimmy Dampeners; Specially designed hydraulic power steering system components.|Excludes Mounting Braces and Mounting Plates permanently installed on aircraft (FSC 1680); Landing Wheels, Skis, and Floats (FSC 1630); Wheel Brakes and Wheel Brake Cylinders (FSC 1630).||Aircraft Landing Gear Components|1974091|
16|30|A|Includes Skis; Floats; Tracks; Landing Wheel Skid Detectors; Valves specifically designed for use with hydraulic or pneumatic wheel and brake systems; Helicopter Rotor Brake System Components.|Excludes Landing Gear Axles (FSC 1620).||Aircraft Wheel and Brake Systems|1974091|
16|40|A|Includes Wire Rope; Single Leg Wire Assemblies; Wire Strands; Control Pulleys; Turnbuckle Lock Clips and other wire rope attachments and terminations.|Excludes General use Chain and Wire Rope (FSC 4010); general use Pulleys (FSC 3020); general use Miscellaneous Hardware (FSC 5340); general use Fittings for Rope, Cable and Chain (FSC 4030).|Note-Wire rope, with attachments or terminations and pulleys, used in aircraft control applications, will be classified in this class.|Aircraft Control Cable Products|2002298|
16|50|A|Includes Hydraulic and Pneumatic Accumulators, Pumps, Motors, Actuating Cylinders, and Filters; De-icing Boots; Fluid Type De-icing Pumps, Valves and Filters; Vacuum System Oil Separators; Pneumatic Pressurization Equipment other than that for pressurizing cabins and compartments.|Excludes Jet Engine Hydraulic Components (FSC 2840); Valves specifically designed for air conditioning, heating, ventilating, cabin pressurizing, and thermal de-icing (FSC 1660); Valves specifically designed for use with Aircraft Engines (FSC 2840); Guided Missiles and Guided Missile Engines (FSC 1338), Landing Gear (FSC 1620), Wheel and Brake System Components (FSC 1630); Oxygen Breathing System Components (FSC 1660); In-flight Refueling System Hydraulic components (FSC 1680); Specifically designed hydraulic power steering system components (FSC 1620).|Note-This class includes only those components specifically designed for aircraft use.|Aircraft Hydraulic, Vacuum, and De-icing System Components|1995235|
16|60|A|Includes Cabin Supercharging Equipment; Canisters; Cylinder Assemblies; Masks; Fixed Oxygen System; Specially Designed Aircraft Valves; Cabin Pressure Regulators; Heat Exchangers; Air Expansion Turbines; Aircraft Heaters; Ventilating System Components; Air Conditioning and Heating Duct Assemblies; Thermal De-icing Equipment; Cabin and Compartment Pressurizing Equipment; Air Diffusers; Cabin Pressure Selectors; Liquid Oxygen Converters.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |Excludes Oxygen Pressure Signals and Warning Devices; Tubing; Ground Type Heaters and Coolers; Pressurizing Equipment other than that used for Cabin and Compartment Pressurization; Fluid De-icing Equipment; Valves specifically designed for use with Aircraft Engines, Guided Missiles, and Guided Missile Engines.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |Note-This class includes components specifically designed for use in aircraft air conditioning, heating, and pressurizing equipment. Also included are specially designed components of oxygen breathing systems used in aircraft.|Aircraft Air Conditioning, Heating, and Pressurizing Equipment|1995167|
16|70|A||Excludes Fitting Assemblies built into the aircraft structure.|Note-Includes specifically designed items, sets, and systems for air-to-air, air-to-surface, and surface-to-air delivery, pick up, and recovery operations, unless parts, attachments, assemblies, for use in or on such systems (i.e., space vehicle aerial recovery systems) are specifically indexed to other classes of the FSC (i.e., Transmitting Radio Buoys and Direction Finding Subsystem Components).|Parachutes; Aerial Pick Up, Delivery, Recovery Systems; and Cargo Tie Down Equipment|1974091|
16|75|A|Includes Structural Components; Components and Accessories specially designed for installation in or on Space Vehicles; Internal (Built-in) Control Systems.|Excludes Remote Guidance Equipment.||Space Vehicle Components|2013335|
16|77|A|Includes Specifically designed Components of Space Vehicle Remote Control Systems.|Excludes Internal (Built-in) Control Systems; Components designed for use with both Guided Missile and Space Vehicle Systems.||Space Vehicle Remote Control Systems|2013335|
16|80|A|Includes Control Assemblies, Push-Pull; Brace, Positioning Cargo Ramp stowed on board; Cockpit Mounted Control Quadrants; Actuators, Electro-Mechanical and Mechanical; Ventilators; Relief Tubes; Map Holders; Aerial Glider Towing Accessories attached to Aircraft; Belts, Safety and Lap; Harness, Shoulder and Safety; Litter Attaching Supports;Electric Windshield Wipers;Aircraft Onboard Inert Gas Generators;Aircraft Furniture;Aircraft Mounted Winches and Hoists;In-Flight Refueling System Components, including Fuel Components;Aircraft Curtains;Cable Tension Regulators;Sun Visors;Rear-View Mirrors;Mechanical Transmissions, Gearboxes and Constant Speed drives Specially designed for aircraft.|Excludes Engine Mounted Control Assemblies; Fitted Covers, Aircraft Pylons; Helicopter Roter Brake System Components; Helicopter Automatic Stabilization Equipment.||Miscellaneous Aircraft Accessories and Components|1974091|
17|10|A|Includes Aircraft Arresting Barriers.|Excludes Airport Runway Marker Lights (FSC 6220).||Aircraft Landing Equipment|1974091|
17|20|A|Includes Catapults.|Excludes Guided Missile Launchers (FSC 1440) and Space Vehicle Launchers (FSC 1840).||Aircraft Launching Equipment|1974091|
17|25|A|Includes Launchers specifically designed for Space Vehicles.|Excludes Launchers used with both Guided Missiles and Space Vehicles.|                       |Space Vehicle Launchers|2012202|
17|30|A|Includes Energizers; Engine Preheaters; Mooring Assemblies; Wheel Chocks; Beaching Equipment; Aileron, Elevator, and Rudder Locks; Passenger Loading Ramps; Maintenance Platforms; Aircraft Maintenance and Boarding Ladders; Aircraft Maintenance Slings and Hoists; Aircraft Fin Tilting Jacks; Airfield Specialized Lift Trucks and Trailers; Fitted Covers for Airframe Components; Aircraft Engine Covers.|Excludes Airfield Specialized Trucks and Trailers designed primarily for transporting aircraft assemblies (FSC 1740); Maintenance Stands designed for support of aircraft assemblies during repair or overhaul (FSC 4920); Test Stands (FSC 4920); General Purpose Jacks (FSC 5120); Slings (FSC 3940), and Hoists (FSC 3950); Trailers (FSC 2330), Liquid Oxygen, Aircraft Servicing (FSC 1660).|Note-This class excludes "vehicular components" such as those listed under FSC's 2520, 2530, 2540, 2590.|Aircraft Ground Servicing Equipment|1974091|
